id,price,created_at,source_segment_start,source_segment_end,status,test_count,age_bars,invalidated_reason,is_approximate,anomaly_score,reaction_strength,creation_quality,survival_bars,held_count,broken_count,average_bounce_strength,max_bounce_strength,survival_score,final_score
1,62375.246458333335,2026-06-11 17:00:00,41,41,invalidated,1,162,broken,True,2.510040457973372,1.8307061497132628,55.081119958231355,162,0,1,,,9.719999999999999,9.719999999999999
2,64110.9125,2026-06-14 21:00:00,117,117,invalidated,3,75,broken,True,5.652446780831121,2.5608696677620597,83.76698961896795,75,2,1,190.01750000000175,190.9375,33.76110732968697,33.76110732968697
3,62325.68145833333,2026-06-18 15:00:00,207,207,invalidated,4,113,overtested,True,3.685193920149797,2.0146311583812424,67.0750859790141,113,3,1,42.31854166666744,64.31854166666744,34.38798087326036,34.38798087326036
4,61341.553125,2026-06-24 13:00:00,349,349,invalidated,1,11,broken,True,3.8175613803471458,2.0558679671266615,68.46385309706733,11,0,1,,,0.6599999999999999,0.6599999999999999
5,58860.75729166667,2026-06-25 13:00:00,373,373,invalidated,1,9,broken,True,5.537939436821121,2.9758613741688578,87.01000458505892,9,0,1,,,0.5399999999999999,0.5399999999999999
6,58452.83500000001,2026-06-30 12:00:00,492,492,invalidated,1,1,broken,True,2.879192246652384,2.239391210064664,63.54894981551835,1,0,1,,,0.06,0.06
7,58556.25,2026-07-01 13:00:00,517,517,active,0,198,,True,2.7618072887132668,2.265557522123891,62.79875788698095,198,0,0,,,44.379999999999995,44.379999999999995
8,63025.028333333335,2026-07-05 22:00:00,622,622,invalidated,2,4,broken,True,3.4746753014963967,1.5024683408456754,58.271362811778644,4,1,1,88.97166666666453,88.97166666666453,20.563375697543584,20.563375697543584
9,61820.89749999999,2026-07-06 12:00:00,636,639,invalidated,4,44,overtested,True,5.386497289236435,1.7535058850041543,73.09391567144924,44,3,1,143.43250000000748,236.7725000000064,33.53025938801705,33.53025938801705
